PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
RLDataCoach,277.0,3251.98,195.91,85.47,0.898235,-0.38406512,-0.2063113,0.05570962,1466.0,-229982.0,-2381.0,31494.0,-40904.0,-18971.0,137.99939822607922
RLDataCoach,273.0,516.33,-4107.6,89.2,-0.41445413,0.46273234,0.7836493,-0.00055296667,-227379.0,34495.0,-2955.0,-41713.0,-23380.0,-27171.0,137.99980003159422
RLDataCoach,273.0,326.49,-4080.78,87.82,-0.41495585,0.65233153,0.6295778,0.076857224,-224159.0,30061.0,11351.0,-29785.0,-11014.0,-33331.0,135.8702168728673
RLDataCoach,273.0,156.35,-4059.7,92.84,-0.36345154,0.7911691,0.46680543,0.15507132,-228453.0,26498.0,2650.0,-38228.0,-19749.0,-34256.0,137.9999213647602
RLDataCoach,273.0,-111.25,-4032.53,90.63,-0.27505746,0.9124234,0.14631017,0.26536834,-229071.0,20434.0,-2939.0,-40673.0,-20447.0,-30863.0,137.99962058817408
RLDataCoach,273.0,-264.46,-4020.16,88.68,-0.2148135,0.93496156,-0.06753501,0.27411872,-229353.0,16998.0,-2838.0,-45998.0,-5481.0,-29649.0,137.9997193784103
RLDataCoach,273.0,-475.51,-4006.84,86.32,-0.116509184,0.910599,-0.35148582,0.18355593,-229647.0,12525.0,-2313.0,-45038.0,4475.0,-31249.0,137.99996113434233
RLDataCoach,273.0,-667.6,-3997.74,81.81,-0.03960607,0.82937384,-0.5467081,0.10807708,-229639.0,9757.0,-8391.0,-48842.0,-1458.0,-25245.0,137.99958032675315
RLDataCoach,273.0,-840.42,-3991.03,73.18,0.015906641,0.7092753,-0.70204103,0.061757185,-229430.0,8426.0,-13812.0,-51299.0,-3223.0,-19569.0,137.9998613738434
RLDataCoach,273.0,-1032.2,-3984.26,58.97,-0.06150363,-0.534095,0.8428706,-0.0230008,-229029.0,7929.0,-19565.0,-52825.0,-2432.0,-15117.0,137.99992318302208
RLDataCoach,273.0,-1242.64,-3976.85,38.17,-0.085532136,-0.3043729,0.94860095,0.014056226,-228576.0,8389.0,-24135.0,-53157.0,7456.0,-11986.0,137.99981911553363
RLDataCoach,273.0,-1414.06,-3969.89,22.18,-0.03147067,-0.098301664,0.9935769,0.04638193,-228446.0,10704.0,-17767.0,-50366.0,21122.0,-6487.0,137.63144283033583
RLDataCoach,273.0,-1641.9,-3953.72,16.19,-0.002932072,0.0067084297,0.9973185,0.07281652,-227237.0,20808.0,849.0,515.0,-250.0,-4121.0,136.91356843001353
RLDataCoach,267.0,-917.94,4201.28,95.36,0.8562065,0.26671705,-0.13435522,0.42156988,228217.0,-28455.0,-2688.0,46026.0,16276.0,-25331.0,137.99988451038644
